French,English,GERMAN,SPANISH
arrivÃ©e,arrival,Ankunft,llegada
grosse,fat,fett,gordo
simplement,simply,einfach,simplemente
mission,assignment,Abtretung,asignación
monter,to go up,hinaufgehen,subir
tenir,hold,halten,sostener
bons,good,Gut,bien
balle,ball,Ball,pelota
quitter,to leave,verlassen,dejar
selon,according to,entsprechend,de acuerdo a
classe,class,Klasse,clase
paris,Paris,Paris,París
sorti,got out,rausgekommen,Salió
mange,eat,essen,comer
peuple,people,Menschen,gente
habitude,habit,Gewohnheit,hábito
voie,way,Weg,forma
dangereux,dangerous,gefÃ¤hrlich,peligroso
pote,pal,Kumpel,camarada
contrÃ´le,control,Kontrolle,control
prÃªte,ready,bereit,listo
honte,shame,Scham,lástima
rencontrÃ©,encounter,begegnen,encontrar
photos,Pictures,Bilder,Fotos
impression,impression,Eindruck,impresión
folle,crazy,verrÃ¼ckt,loco
Ã©crire,to write,schreiben,escribir
suivre,follow,folgen,seguir
oublier,forget,vergessen,olvidar
livres,books,BÃ¼cher,libros
aille,go,gehen,ir
retourner,return,zurÃ¼ckkehren,devolver
offre,offer,Angebot,oferta
chanson,song,Lied,canción
envoie,send,schicken,enviar
trou,hole,Loch,agujero
arriÃ¨re,back,zurÃ¼ck,atrás
poste,job,Arbeit,trabajo
amÃ©rique,America,Amerika,America
huit,eight,acht,ocho
radio,radio,Radio,radio
paul,Paul,Paul,Pablo
ressemble,looks like,sieht aus wie,parece
attaque,attack,Attacke,ataque
arrÃªtÃ©,stopped,gestoppt,interrumpido
change,exchange,Austausch,intercambio
baiser,kiss,Kuss,beso
pourtant,Yet,Noch,Todavía
rÃ©ponse,answer,Antwort,respuesta
connu,known,bekannt,conocido
k,k,k,k
connard,asshole,Arschloch,Estúpido
lu,read,lesen,leer
pute,whore,Hure,puta
bande,band,Band,banda
enfer,hell,HÃ¶lle,infierno
tenez,hold,halten,sostener
rend,renders,Rendern,renders
triste,sad,traurig,triste
tel,such,solch,semejante
bravo,well done,gut gemacht,bien hecho
Ãªtre,be,Sei,ser
savait,knew,wusste,sabía
david,David,David,David
plusieurs,several,mehrere,varios
existe,exist,existieren,existir
met,put,setzen,poner
rire,laugh,lachen,reír
compagnie,company,Unternehmen,compañía
Ã©trange,odd,seltsam,extraño
exemple,example,Beispiel,ejemplo
devais,had to,musste,tuve que
vit,lives,Leben,vidas
combat,fight,kÃ¤mpfen,luchar
secours,rescue,Rettung,rescate
aurez,will have,werde haben,tendrá
conneries,bullshit,Bullshit,mierda
visite,visit,besuchen,visita
jouÃ©,plays,TheaterstÃ¼cke,obras de teatro
michael,Michael,Michael,Miguel
pourra,may,Mai,puede
coucher,to sleep,schlafen,dormir
imagine,conceived,konzipiert,concebido
bob,bob,Bob,Beto
merveilleux,wonderful,wunderbar,maravilloso
continuer,continue,weitermachen,continuar
Ã©coutez,Listen,HÃ¶ren,Escuchar
dirai,will say,werde sagen,diría
volÃ©,stolen,gestohlen,robado
lune,moon,Mond,luna
bouche,mouth,Mund,boca
sud,south,SÃ¼d,sur
danse,dance,tanzen,bailar
ennuis,troubles,Probleme,nubes
but,aim,Ziel,apuntar
aie,Ouch,Autsch,Ay
hors,out,aus,afuera
sortie,exit,Ausfahrt,salida
