French,English
accident,accident
appel,call
anniversaire,birthday
blanc,white
finir,finish
risqué,risk
doivent,must
moyen,AVERAGE
terminé,finished
complètement,completely
clair,clear
meurtre,murder
sam,sat
parlez,speak
heureuse,happy
ordres,orders
disais,said
touche,touch
frank,Frank
prêts,loans
fasse,do
puisse,may
déjeuner,lunch
envoyé,sent
lire,read
disait,said
tombe,fall
su,on
marcher,to walk
avance,advance
déteste,hated
forme,shape
â,has
mauvaise,bad
bord,edge
décidé,decided
mer,sea
vivant,alive
médecin,doctor
midi,noon
devenu,became
montre,watch
porter,to carry
vraie,real
disent,say
ferait,would do
ignore,ignore
charlie,charlie
connaître,to know
silence,silence
diable,devil
sortez,get out
tom,Tom
cadeau,gift
suppose,Assumed
b,B
flics,cops
avocat,lawyer
jure,sworn
anglais,English
sept,seven
devriez,should
moitié,half
aimé,love
surprise,surprise
chacun,each
serez,will be
exact,exact
commandant,commanding officer
télé,TV
autour,around
disparu,disappeared
ligne,line
expliquer,explain
aimer,to like
arrivée,arrival
grosse,fat
simplement,simply
mission,assignment
monter,to go up
tenir,hold
bons,good
balle,ball
quitter,to leave
selon,according to
classe,class
paris,Paris
sorti,got out
mange,eat
peuple,people
habitude,habit
voie,way
dangereux,dangerous
pote,pal
contrôle,control
prête,ready
honte,shame
rencontré,encounter
photos,Pictures
impression,impression
folle,crazy
écrire,to write
suivre,follow
oublier,forget
livres,books
aille,go
retourner,return
offre,offer
chanson,song
envoie,send
trou,hole
arrière,back
poste,job
amérique,America
huit,eight
radio,radio
paul,Paul
ressemble,looks like
attaque,attack
arrêté,stopped
change,exchange
baiser,kiss
pourtant,Yet
réponse,answer
connu,known
k,k
connard,asshole
lu,read
pute,whore
bande,band
enfer,hell
tenez,hold
rend,renders
triste,sad
tel,such
bravo,well done
être,be
savait,knew
david,David
plusieurs,several
existe,exist
met,put
rire,laugh
compagnie,company
étrange,odd
exemple,example
devais,had to
vit,lives
combat,fight
secours,rescue
aurez,will have
conneries,bullshit
visite,visit
joué,plays
michael,Michael
pourra,may
coucher,to sleep
imagine,conceived
bob,bob
merveilleux,wonderful
continuer,continue
écoutez,Listen
dirai,will say
volé,stolen
lune,moon
bouche,mouth
sud,south
danse,dance
ennuis,troubles
but,aim
aie,Ouch
hors,out
sortie,exit
